nombre,poblacion,superficie,continente
Siria,25620000,185180,Asia
Nueva Zelanda,5324700,268838,Oceanía
Brunei,455500,5765,Asia
Territorio Británico del Océano Índico,0,60,Asia
Kenia,53330978,580367,África
Palau,16733,459,Oceanía
Omán,5343630,309500,Asia
México,130575786,1964375,América del Norte
Palestina,5483450,6220,Asia
Islas Turks y Caicos,50828,948,América del Norte
República Centroafricana,6470307,622984,África
San Cristóbal y Nieves,51320,261,América del Norte
Sudán del Sur,15786898,619745,África
Ucrania,32862000,603550,Europa
San Bartolomé,10562,21,América del Norte
Países Bajos,18100436,41865,Europa
Tanzania,68153004,947303,África
Chequia,10882341,78865,Europa
Bielorrusia,9109280,207600,Europa
Yemen,32684503,527968,Asia
Eslovenia,2130638,20273,Europa
Islas Tokelau,2608,12,Oceanía
Nigeria,223800000,923768,África
Reunión,896175,2511,África
Guadalupe,378561,1628,América del Norte
Hungría,9539502,93028,Europa
Islas Heard y McDonald,0,412,Antártida
Suazilandia,1235549,17364,África
Comoras,919901,1862,África
India,1417492000,3287263,Asia
Islas Cocos o Islas Keeling,593,14,Asia
Reino Unido,69281437,244376,Europa
Angola,36170961,1246700,África
Macao,685900,30,Asia
Costa Rica,5309625,51100,América del Norte
Niue,1681,260,Oceanía
Islas Cook,15040,236,Oceanía
Djibouti,1066809,23200,África
San Pedro y Miquelón,5819,242,América del Norte
Austria,9200931,83871,Europa
Indonesia,284438782,1904569,Asia
Nauru,11680,21,Oceanía
Kazajistán,20426568,2724900,Asia
Malawi,20734262,118484,África
Eritrea,3607000,117600,África
Túnez,11972169,163610,África
Islas Pitcairn,35,47,Oceanía
Arabia Saudí,35300280,2149690,Asia
Turkmenistán,7057841,488100,Asia
Sahara Occidental,600904,266000,África
Ghana,33742380,238533,África
Tuvalu,10643,26,Oceanía
Myanmar,51316756,676578,Asia
Gabón,2469296,267668,África
Cuba,9748007,109884,América del Norte
China,1408280000,9706961,Asia
Panamá,4064780,75417,América del Norte
Tailandia,65859640,513120,Asia
Rusia,146028325,17098246,Europa
Bosnia y Herzegovina,3422000,51209,Europa
Catar,3173024,11586,Asia
Isla Bouvet,0,49,Antártida
Irak,46118793,438317,Asia
Tayikistán,10499000,143100,Asia
Guyana,772975,214969,América del Sur
Islas Salomón,750325,28896,Oceanía
República Eslovaca,5413813,49037,Europa
Gibraltar,38000,6,Europa
Perú,34350244,1285216,América del Sur
Puerto Rico,3203295,8870,América del Norte
Armenia,3076200,29743,Asia
Azerbaiyán,10241722,86600,Europa
Mauritania,4927532,1030700,África
Belice,417634,22966,América del Norte
Anguilla,16010,91,América del Norte
Seychelles,122729,452,África
Isla de Norfolk,2188,36,Oceanía
Filipinas,114123600,342353,Asia
Argentina,46735004,2780400,América del Sur
Moldavia,2749076,33847,Europa
Samoa,205557,2842,Oceanía
Antártida,1300,14000000,Antártida
Sierra Leone,9077691,71740,África
Camboya,17577760,181035,Asia
Vanuatu,321409,12189,Oceanía
Jordania,11734000,89342,Asia
Martinica,349925,1128,América del Norte
Tonga,100179,747,Oceanía
Islas Vírgenes del Reino Unido,39471,151,América del Norte
Timor Oriental,1391221,14874,Oceanía
Polinesia Francesa,279500,4167,Oceanía
Turquía,85664944,783562,Europa
Guernsey,64781,78,Europa
Senegal,18593258,196722,África
Guatemala,18079810,108889,América del Norte
Polonia,37392000,312679,Europa
Bahamas,398165,13943,América del Norte
Islas Faroe,54885,1393,Europa
Aruba,107566,180,América del Norte
República Dominicana,10771504,48671,América del Norte
Hong Kong,7527500,1104,Asia
Santo Tomé y Príncipe,209607,964,África
Uruguay,3499451,181034,América del Sur
Bermudas,64055,54,América del Norte
Wallis y Futuna,11620,142,Oceanía
Sudáfrica,63100945,1221037,África
Israel,10134800,21937,Asia
San Marino,34132,61,Europa
El Salvador,6029976,21041,América del Norte
Mongolia,3544835,1564110,Asia
Samoa Americana,49710,199,Oceanía
Tierras Australes y Antárticas Francesas,400,7747,Antártida
Zimbabue,17073087,390757,África
Islas Malvinas,3662,12173,América del Sur
Croacia,3866233,56594,Europa
Kiribati,120740,811,Oceanía
Islas Marshall,42418,181,Oceanía
Noruega,5606944,386224,Europa
Mali,22395489,1240192,África
Zambia,19693423,752612,África
Maldivas,515132,300,Asia
Antigua y Barbuda,103603,442,América del Norte
Isla de Navidad,1692,135,Asia
Iran,85961000,1648195,Asia
Italia,58927633,301336,Europa
Gambia,2422712,10689,África
Corea del Sur,51159889,100210,Asia
Papúa Nueva Guinea,11781559,462840,Oceanía
Egipto,107271260,1002450,África
Isla de Man,84530,572,Europa
Letonia,1829000,64559,Europa
Paraguay,6109644,406752,América del Sur
Grenada,109021,344,América del Norte
Colombia,53057212,1141748,América del Sur
Finlandia,5650325,338455,Europa
Bulgaria,6437360,110879,Europa
Togo,8095498,56785,África
Chile,20206953,756102,América del Sur
Dominica,67408,751,América del Norte
Irlanda,5458600,70273,Europa
Botswana,2359609,582000,África
Kosovo,1585566,10908,Europa
Estados Unidos,340110988,9525067,América del Norte
Uzbekistán,37859698,447400,Asia
Brasil,213421037,8515767,América del Sur
Ruanda,14104969,26338,África
Liechtenstein,40900,160,Europa
Bután,784043,38394,Asia
Montenegro,623327,13812,Europa
Níger,26312034,1267000,África
Albania,2363314,28748,Europa
Marruecos,36828330,446550,África
Venezuela,28517000,916445,América del Sur
Congo,6142180,342000,África
Burundi,12332788,27834,África
Jersey,103267,116,Europa
Macedonia del Norte,1822612,25713,Europa
Kirguizistán,7281800,199951,Asia
Rumania,19036031,238391,Europa
Guam,153836,549,Oceanía
Alandia,30654,1580,Europa
Guinea Ecuatorial,1668768,28051,África
Islas Georgias del Sur y Sandwich del Sur,0,3903,Antártida
Guayana Francesa,292354,83534,América del Sur
Alemania,83491249,357114,Europa
Dinamarca,6011488,43094,Europa
Islandia,391810,103000,Europa
Somalia,19655000,637657,África
Micronesia,105564,702,Oceanía
Laos,7647000,236800,Asia
Sint Maarten,41349,34,América del Norte
Liberia,5248621,111369,África
Chad,19340757,1284000,África
Australia,27536874,7692024,Oceanía
Burkina Faso,24070553,272967,África
Malta,574250,316,Europa
Islas Marianas del Norte,47329,464,Oceanía
Uganda,45905417,241550,África
España,49315949,505992,Europa
Sudán,51662000,1886068,África
Taiwán,23317031,36197,Asia
Afganistán,43844000,652230,Asia
Islas Svalbard y Jan Mayen,2530,61399,Europa
Fiyi,900869,18272,Oceanía
Guinea-Bisáu,1781308,36125,África
Andorra,88406,468,Europa
Argelia,47400000,2381741,África
Portugal,10749635,92090,Europa
Mozambique,34090466,801590,África
Lesotho,2116427,30355,África
Corea del Norte,25950000,120538,Asia
Singapur,6110200,710,Asia
Mónaco,38423,2,Europa
Líbano,5490000,10452,Asia
Serbia,6567783,77589,Europa
Estonia,1369995,45227,Europa
Barbados,267800,430,América del Norte
Mauricio,1243741,2040,África
"Santa Elena, Ascensión y Tristán de Acuña",5651,394,África
Bélgica,11825551,30528,Europa
Libia,7459000,1759540,África
Nicaragua,6803886,130373,América del Norte
Kuwait,4881254,17818,Asia
Nueva Caledonia,264596,18575,Oceanía
Francia,66351959,543908,Europa
Vietnam,101343800,331212,Asia
San Vicente y Granadinas,110872,389,América del Norte
Bahrein,1594654,765,Asia
Curazao,156115,444,América del Norte
Bangladesh,169828911,147570,Asia
